book_a;book_b;count
0439064864;0439136350;56
0439136350;0439064864;56
0439064864;0590353403;51
0590353403;0439064864;51
0439136350;0439139597;50
0439139597;0439136350;50
0439139597;0439064864;46
0439064864;0439139597;46
0439136350;0590353403;44
0590353403;0439136350;44
0439064864;043935806X;40
043935806X;0439064864;40
043935806X;0439136350;40
0439136350;043935806X;40
0439139597;043935806X;39
043935806X;0439139597;39
0439064872;059035342X;37
0345313860;0345337662;37
059035342X;0439064872;37
0316666343;0385504209;37
0345337662;0345313860;37
0385504209;0316666343;37
0316666343;0446672211;33
0446672211;0316666343;33
0671001795;0312966970;32
0312971346;0312966970;32
0312971346;0312966091;32
0312966091;0312971346;32
0439139597;0590353403;32
0590353403;0439139597;32
0312966970;0312971346;32
0312966970;0671001795;32
0345313860;0345351525;31
0345351525;0345313860;31
0385504209;0671027360;31
0671027360;0385504209;31
0671001795;0312966091;30
0345313860;034538475X;30
0312966091;0671001795;30
034538475X;0345313860;30
0590353403;043935806X;29
0312966970;0312966091;29
0312976275;0312971346;29
043935806X;0590353403;29
0312966091;0312966970;29
0312971346;0312976275;29
0440214041;044021145X;28
044021145X;0440214041;28
0439136369;0439064872;28
0439064872;0439136369;28
059035342X;043935806X;27
0345351525;0345337662;27
0316666343;0743418174;27
0345337662;0345351525;27
0439136369;059035342X;27
043935806X;059035342X;27
059035342X;0439136369;27
0345337662;034538475X;27
0743418174;0316666343;27
034538475X;0345337662;27
0440211727;0440214041;26
0312976275;0312966970;26
0312966970;0312976275;26
0440214041;0440211727;26
0515132020;0515131229;25
043935806X;0439139600;25
0515131229;0515132020;25
0515131229;051513287X;25
051513287X;0515131229;25
0345351525;034538475X;25
034538475X;0345351525;25
0439139600;043935806X;25
0312990456;0671001795;24
0316666343;0316096199;24
0842329250;0842329218;24
0385504209;0142001740;24
0515136530;0515136379;24
0312971346;0671001795;24
0316666343;0312195516;24
0142001740;0385504209;24
0316666343;0316601950;24
0312966091;0312976275;24
0312195516;0316666343;24
044021145X;0440220602;24
0515136379;0515136530;24
0316096199;0316666343;24
0842329218;0842329250;24
0440220602;044021145X;24
0671001795;0312990456;24
0312976275;0312966091;24
0316601950;0316666343;24
0671001795;0312971346;24
0312966970;0312980140;23
0060928336;0316666343;23
0385335881;0385335482;23
0316666343;0060928336;23
0515132020;051513287X;23
051513287X;0515132020;23
0842329129;0842329218;23
0842329218;0842329129;23
0312980140;0312966970;23
0385335482;0385335881;23
0312980140;0312966091;22
0312966091;0312980140;22
0345339738;0345339711;22
0345339738;0345339703;22
0345339711;0345339738;22
0451190548;0451190491;22
0671001795;0312980140;22
0439064872;0439139600;22
0451190491;0451190548;22
0439139600;0439064872;22
0440211727;0440213525;22
0452282152;0312195516;22
0440214041;0440213525;22
0345339703;0345339738;22
0312195516;0452282152;22
0312980140;0671001795;22
0142001740;0316666343;22
0316666343;0142001740;22
0312195516;0385504209;22
0385504209;0312195516;22
0440213525;0440211727;22
0440213525;0440214041;22
0671003755;0316666343;21
0439139597;059035342X;21
0842329218;0842329242;21
059035342X;0439139597;21
